scale,step,ablation_type,R_mean,R_std,n_seeds
py410m,5000,second,-0.07351572797250125,7.604027813321427e-05,3
py70m,16000,random,0.9294158358515144,3.0115418009723505,3
py14b,16,none,1.0,0.0,3
py410m,11000,none,1.0,0.0,3
py160m,5000,random,0.8080666393479199,0.45748233949844797,2
py14b,15000,leading,1.8111330691310847,1.5718884524905124e-05,3
py14b,64,none,1.0,0.0,3
py70m,50000,second,0.3261128697835442,5.0591729316720864e-05,3
py70m,17000,leading,1.3897463418857086,4.503995284503224e-05,5
py1b,100000,leading,2.136743448267202,0.00011816283690555112,3
py69b,20000,leading,2.35523380046113,0.00019172431293997016,3
py14b,143000,none,1.0,0.0,3
py410m,14000,leading,1.7500042296173373,2.813467585878996e-05,3
py410m,16000,fifth,0.3516138658611016,0.0004079997717164272,3
py69b,8000,fifth,0.21473168726501743,0.0002605355136838633,3
py160m,8000,second,0.2848837510462981,6.415471156814506e-05,3
py70m,16000,fifth,3.439966638405961,0.0009503721117928688,3
py410m,11000,leading,1.6659740237063554,5.6554959593678783e-05,3
py160m,143000,random,0.7114071794393869,0.4072876319210457,3
py14b,25000,none,1.0,0.0,3
py69b,100000,fifth,0.48870170320435946,0.0012459482536611008,3
py69b,10000,second,-2.621310942587487,0.0008252519020098637,3
py14b,128,none,1.0,0.0,3
py28b,13000,random,0.8220277319767588,1.8946365100672813,5
py160m,50000,random,0.6020237708400427,1.681260329921328,3
py1b,15000,leading,1.9446582841724407,4.5729402695107514e-05,3
py28b,50000,leading,2.27330257981656,0,1
py69b,19000,none,1.0,0.0,3
py69b,2000,none,1.0,0.0,2
py69b,100000,second,1.5130310152878705,0.00021227430575931905,2
py410m,50000,fifth,0.4854510111694002,7.539588280225222e-05,3
py28b,16000,leading,2.273740442874052,0.0004378630574923825,2
py14b,30000,fifth,0.5326446960480804,0.00014242720982582833,3
py160m,143000,second,0.42251795185064384,0.00017668608656948697,3
py410m,50000,second,0.5883528859979025,1.5038133638698178e-05,3
py1b,9000,leading,0.8173325481704461,3.5058730969983465e-06,2
py410m,110000,leading,1.7968920836251794,7.970548300414796e-05,3
py14b,2000,none,1.0,0.0,2
py14b,143000,second,0.29642405689106527,4.380721344302742e-05,3
py14b,75000,none,1.0,0.0,3
py69b,5000,second,-0.613990270044972,0.00014143015458998006,3
py1b,16,none,1.0,0,1
py28b,25000,leading,2.273824300318076,0.00037666985532975775,3
py28b,90000,leading,2.273824300318076,0.00037666985532975775,3
py1b,75000,none,1.0,0.0,3
py14b,10000,second,2.0548932179376576,0.0018826689367969873,3
py160m,16,none,1.0,0.0,2
py69b,50000,leading,2.806704635151526,0.0001439159564682324,2
py14b,16000,random,-0.09132855822732687,0.7425110362625498,3
py69b,30000,none,1.0,0,1
py410m,8000,second,0.17770709408786672,0,1
